name,description
#Resist: Walnut Creek,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Oakland,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Emeryville,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Berkeley,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
"#Resist: Albany, CA","<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
"#Resist: Richmond, CA","<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Rafael,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Rohnert Park,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Mill Valley,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Novato,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Petaluma,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Campbell,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Cupertino,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Los Gatos,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Milpitas,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Santa Clara,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Santa Cruz,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: San Jose,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Stockton,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Modesto,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Tracy,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Santa Rosa,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Sebastopol,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Auburn,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Carmichael,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Citrus Heights,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Davis,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Elk Grove,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Fair Oaks,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Folsom,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Roseville/GB,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics. It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO <br> - Join this group now <br> - Schedule one of our Meetup ideas in your neighborhood <br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES <br> - Be Peaceful <br> - Be Safe <br> - Be Kind <br> - Be Respectful <br> - Be Real</p>
<p><br></p>
<p>Contact:</p>
<p>Organizer:&nbsp;</p>
<p>Roza Calderon&nbsp;</p>
<p>roza@rozacalderon.com</p>
<p><a href=""https://twitter.com/IndivisibleGB"">https://twitter.com/IndivisibleGB</a><br></p>
<p>WELCOME TO THE RESISTANCE!</p>
<p><br></p>"
#Resist: Rancho Cordova,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Rocklin,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Vacaville,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: West Sacramento,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
#Resist: Grass Valley,"<p>Concerned about where the country is heading? You're not alone. Join others who care about what's happening to democracy, equality, human rights, social justice, sustainability, and other important topics.  It's ok if you've never been to a protest, march, or town hall -- start here. You really can make a difference.</p>
<p>WHAT YOU CAN DO<br> - Join this group now<br> - Schedule one of our Meetup ideas in your neighborhood<br> - Discuss your own Meetup ideas in the group conversation</p>
<p>OUR COMMUNITY GUIDELINES<br> - Be Peaceful<br> - Be Safe<br> - Be Kind<br> - Be Respectful<br> - Be Real</p>"
RTS Sexual Violence Prevention and Survivor Support,"<p>Rape Trauma Services of San Mateo County strives to eliminate all forms of violence, with a special focus on sexual assault and abuse. Informed by our understanding of traumatic experiences and cycles of violence, we facilitate healing and the prevention of violence through the provision of counseling, advocacy, and education. We promote and adopt policies, practices, and the social values rooted in fairness, equity and inclusiveness. <br>Learn more about us at www.rapetraumaservices.org</p>
<p>We invite anyone in the community interested in learning, sharing and/or taking an active role in preventing sexual violence and supporting people who have been affected by sexual violence to join our group.</p>"
Volunteer Queer!,"<p>A meetup for queer folks and allies who want to volunteer with LGBTQ+ nonprofits! Meet new people and work with the organizations and activists that support our community every day. We'll meet up for volunteer activities once a month (or more, as needed!), and hang out after!</p>"
Peninsula Feminist Book Club,"<p>Hello Feminists,</p>
<p>Everyone who is interested in learning about, talking about and/or meeting people who care about feminism and gender equity is welcome.&nbsp;</p>
<p>We recognize that each of us will have a different perspective to add to discussions. No one person's opinion or perspective is the ""right"" one. We recognize that hearing different perspectives will add to our own pool of knowledge.</p>
<p>The books we read are resources. We also talk about other subjects related to feminism and gender equity.</p>
<p>This is also a place where you can share your radical ideas. When a member wants to share an idea or observation that feels vulnerable to share, &nbsp;that member can ask beforehand to be listened to only. Other members then will not share their different opinions at that time and instead be a witness to the courage of that member.</p>
<p> <br></p>"
Safe Places - Social Activism,"<p>Are you a protective person? Do you believe in the the Dream of Martin Luther King Jr? Are you unwilling to sit by while fellow community members are being beaten in the streets and hospitalized for their political beliefs? Do you want your children growing up in a country where they are free to think and express their opinions without fear of violent repercussions? Let's meet up to discuss nonviolent political activism, brainstorm together about what we can do to turn the tide here in the Bay Area, and get out there and DO something!</p>"
Trees for Oakland,"<p>We plant trees in Oakland where people ask us to -- along streets, at parks, at schools, and more -- especially in the parts of town that need trees the most. Join us if you want to use your muscles and your mind to help make Oakland a (literally) greener place. For more info, go to <a href=""http://TreesForOakland.org"">TreesForOakland.org</a> . <br></p>"
SGI USA Nichiren Buddhists of Santa Cruz County,"<p>Welcome! We are a worldwide movement of people connected by Nichiren Buddhism which promotes peace, culture, and education through personal transformation and social contribution. We have a shared commitment to realize a world free of nuclear weapons with a sustainable environment; and a world in which social justice prevails and all human lives are valued equally.</p>
<p>This is Buddhism in Action for Peace!</p>"
San Jose WILPF (Women's Intl League for Peace & Freedom),"<p>Wilpf San Jose is for anyone who wants to work today for peace and freedom, human rights, women's rights, and more with an organization whose founding goes back to 1915.</p>"
Oakland Cure for Capitalism,"<p>This meetup seeks a practical end to wage slavery, oppression, and capitalism, and a fulfilling life for each of us along the way.</p> 
<p>We wonder why there's so much work to be done to help the masses while most capital goes towards consolidating capital further. We battle mental illness, feelings of alienation, underemployment, and hopelessness, but have a sneaking feeling that we aren't really the problem. We've had ""good jobs"" but can't seem to shake the feeling of being ground down. We're ready for a different way. &lt;br&gt;</p>"
Effect.org,"<p>Join us to learn more about volunteering around the world as we utilize technology to tackle issues like human trafficking, education and the refugee crisis.</p>
<p> <br></p>
<p> <br></p>"
Madison and Manzanita area meetups,"<p>Any one in the Citrus Height, Carmichael, Foothills Farms, North Highlands area that is looking to make more connections with the people in their neighborhood.</p>"
Napa Food Not Bombs!,"<p>Food not Bombs is a grass roots organization that protests poverty war and hunger by serving fresh hot meals in visible public spaces by claiming food from the community that would otherwise be discarded.<br>Food is a right, not a privilege...Solidarity not charity.</p>"
Bay Area Women of Color Hiking Group,"<p>This a group for WOC (Women of Color) hikers in the Bay Area. This includes cis, gay, straight, non-binary and trans women, and anyone who identifies as a women of color.</p>
<p>I started this group to meet other outdoorsy women of color who like to hike! Being an avid hiker and backpacker, I have often found that POCs (and especially WOC) aren't well-represented in the outdoors, and I'd like to do what I can to change that by giving WOC a safe space to hike and experience the outdoors.</p>
<p>If you also like happy hours and brunch, and discussing current events/social justice (and maybe even discussing current events/social justice over happy hour or brunch), we'll probably do some of that too!</p>
<p>Hikes will take place primarily in Marin, Peninsula, East and South Bay. &nbsp;All skill levels welcome.</p>
<p>Please check out the following pages for additional information:</p>
<p><a href=""https://www.meetup.com/Bayarea-WOC-Hikers/about/"">About Us and Disclaimer</a> <br><a href=""https://www.meetup.com/Bayarea-WOC-Hikers/pages/23874006/Group_Guidelines/"">Group Guidelines</a>&nbsp;<br><a href=""https://www.meetup.com/Bayarea-WOC-Hikers/pages/23889307/What_to_bring_to_hikes/"">What to bring to hikes</a><br><a href=""https://www.meetup.com/Bayarea-WOC-Hikers/pages/23877627/Difficulty_Ratings/"">Difficulty Ratings</a><br><a href=""https://www.meetup.com/Bayarea-WOC-Hikers/pages/23869914/Resources/"">Resources</a></p>
<p><span>Looking forward to hiking!</span> <br></p>
<p>Karen</p>
<p>P.S. If you're interested in becoming an organizer for this group and leading hikes, please direct message me :)</p>"
Avalon Visions Movie Night,"<p>Do you like documentaries and fact based movies n unique topics ranging from UFO's, conspiracies, to inspirational topics. Join this group and you can pick and choose what movies you would like to see. This is a small group with limited space. We can pause the movies for breaks etc. Come and join this group.</p> 
<p>Donations are welcomed but not required.</p>"
Brown* Girl Magic (WoC in Sacramento),"<p>Brown* Girl Magic (Women of Color in Sacramento) A group for twenty/thirty-something year old WoC to connect, make friendships, and create community.</p> 
<p>We can bond over shared experiences like being first generation Americans, rant about micro-aggressions, talk about how our intersectional identities influence our daily lives... While ALSO doing things like happy hours, going to concerts, cultural events, movies, social justice rallies/ protests, outdoor stuff, having a a book club, and going out! (Always open to event suggestions!)</p> 
<p>For a lack of a better words, this is the ""woke"" group of girlfriends you've been looking for.</p> 
<p>Notes:</p> 
<p>Brown* does not explicitly refer to skin tone, all self identified WoC are welcome.</p> 
<p>Members MUST have picture of themselves as profile pic. This is so we know who is who/ for safety purposes.</p> 
<p>Also, starting in October, MINIMAL member fees may be added in order to pay the monthly subscription of $15.</p>"
Fuck Yeah Femme Productions,"<p>Fuck Yeah Femme Productions creates events to celebrate the lives and identities of femmes, bitches, and whores. Sharing stories, making art, deepening our embodiment, connecting to our eroticism, laughing, crying, raging, and playing, we create the world we want to live in one gathering at a time.</p> 
<p>Badass femmes of all genders welcome!</p> 
<p>Be seen. Be celebrated. Build Community.</p>"
AUMA,"<p>&lt;br&gt;</p> 
<p>AUMA stands for the Adult Use Marijuana Act that was passed in 2016. Which is great milestone for the 420 friends, community and cannabis culture in general.However, there are skeptics of the equability of the cannabis industry. The economics of marijuana include the billions of tax revenue dollars that will pour into California. As marijuana advocates continue to push for reform Sacramento's underrepresented communities struggle to rebuild and anticipate the fate of gentrification. Economic and social justice is an inclusive concept. Many people of color strive to be heard. &lt;br&gt;</p> 
<p>Currently, I am working on a film about drug war reparations as they pertain to the cannabis industry. The purpose is to open a dialogue about the upcoming for-profit cannabis industry in 2018. In addition, the documentary will propose shared cannabis equity with underrepresented communities; specifically African American women. I also want to reach out to African American women that would like to share their personal experiences and perspectives on film. All feminist are welcome to join and share your feminist voice on this matter. There will be upcoming sister circle discussions, guest speakers that include activist, educators, and community leaders. I look forward to connecting with you in creating and filming this movement.</p> 
<p>#blackgirlmagic</p> 
<p>#afrofeminist Much Love &lt;br&gt;</p>"
Wisdom for Everyday Life!,"<p>All people seeking happiness, empowerment and the purpose of their lives are free to join and learn about the life changing philosophy of SGI Nichiren Buddhism.</p>"
Oakland Radical Educators Discussion & Reading Group,<p>Oakland Radical Educators is for teachers/educators who are interested in discussing their experience in teaching. We will meet up once per/month to read about and discuss social justice education issues. We can also take time to explore local and state school policies that affect students and teachers in Oakland. You should come with your ideas for reading and discussion. Possible Discussion Topics:<br>- Tension between capitalism and education<br>- Segregation tactics by school districts/school boards<br>- Effects of charter schools and privatization</p>
SoOakland Collective,"<p>Hello, I am Shayla Jamerson. Founder of SoOakland. A organization I started 2 years ago to change the perspective of how Black Oakland was viewed. I created events that are safe spaces for the Black and Brown community as well as the natives. As a native of Oakland its disheartening what is happening int he city as far as gentrification is concerned. I appreciate the face lift that is happening but I do not appreciate people not being able to feel like this is home anymore. Anyways my group allows us to come together, network, have fun, travel, party, find out what other dope things are happening in the Bay Area, join forces, appreciate each others value through brotherhood and sisterhood experiences. This group is about representing what REAL OAKLAND and REAL BAYAREA</p>"
